threshold,Precision,Recall,F1-Score,Specificity
1,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.8571428571428571
3,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.5
5,1.0,1.0,1.0,1.0
11,1.0,1.0,1.0,
