Metric,Mean,Std.
Micro - Precision,0.7090909090909091,
Micro - Recall,0.30708661417322836,
Micro - F1,0.4285714285714286,
Micro - FPavg,0.07766990291262135,
Micro - FPcmb,0.01671891327063741,
Macro - Precision,0.7875,0.3227486121839514
Macro - Recall,0.3396994555040532,0.3223903985106948
Macro - F1,0.4453164357434467,0.21716636083271657
Macro - FPavg,0.8888888888888888,1.6409785061104063
Macro - FPcmb,0.31170792808723846,0.742811108852307
