threshold,Precision,Recall,F1-Score,Specificity
1,0.4444444444444444,0.8,0.5714285714285714,0.6153846153846154
2,0.625,1.0,0.7692307692307693,0.25
5,0.8823529411764706,1.0,0.9375,0.3333333333333333
