threshold,Precision,Recall,F1-Score,Specificity
1,0.5555555555555556,0.7142857142857143,0.625,0.6363636363636364
3,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.3333333333333333
5,0.8235294117647058,1.0,0.9032258064516129,0.25
11,0.9411764705882353,1.0,0.9696969696969697,0.5
